text,category,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,description,category_code
"Ще раз добрий день, Адміністраторе.

Мене звати , браузер - Chrome, операціяйна система - Mac OC, роутер - TPLINK WR940N.
Я точно не робот - чому я бачу це повідомлення після того як ввів кількість монет і натиснув підтвердити?
При цьому браузер на якийсь час наче підвисає.

З повагою,",SiteAndCoins,,,,,,
"Доброго ранку, забула логін до кабінету. Допоможіть відновити доступ. ",SiteAndCoins,,,,,,
"Доброго дня, не можливо зареестувати користувача, пише що користувач з такими данними вже є у стистемі, але ця людина ніразу не рееструвалась.
Що робити якщо наприклад реально існує 2 людини з одинаковим ПІП і датою народження?",SiteAndCoins,,,,,,
"Добрый день, просьба разблокировать учётную запись.",SiteAndCoins,,,,,,
"Не можливо зарєгеструватися, пише невірний логін, , логін ",SiteAndCoins,,,,,,
"Я проходил регистрацию, но пишет не прошло, вункцию я не робот

Отправлено с моего устройства Huawei",SiteAndCoins,,,,,,
"Доброго дня, не можу зареєструватися. Пише що такого логічну не існує. ",SiteAndCoins,,,,,,
Добрый день.Как пройти регистрацию и заказать монеты? Регистрацию невозможно пройти.,SiteAndCoins,,,,,,
"Не можу   заєструватись на сайті, там де дата народження пише помилку, пробувала вже більше 7 разів, ніяк не виходить, все решта інформація коректна, дякую за відповідь.",SiteAndCoins,,,,,,
"Здравствуйте. Загрузил мобильную версию и пытался зарегистрироваться. Постоянно пишет, что я не прошел процедуру проверки «Я не робот». В пояснении пишет, что она автоматически происходит, но мне ничего не выскакивает. Подумал, проблему в моб. версии. Зашел на сайт с ноутбука, и почему-то все поля по-английски. Почему в моб. версии на украинском языке просит ФИО писать, а на сайте латинскими буквами? 
Из-за чего может быть сбой регистрации? ",SiteAndCoins,,,,,,
Не можу відновити пароль,SiteAndCoins,,,,,,
"Мною 19.02.2019 в 10-45 була здійснена спроба зареєструватись в модулі On-Line замовлення монет, проте  на даний час завершити реєстрацю не можливо, враховуючи,   що на вказану  електронну адресу не надійшла Іструкція. 
 
При цьому,   зазначено що для завершення реєстрації потрібно скористатись Інструкцією. 
"" Повідомлення! Реєстрація облікового запису не підтверджена. Інструкція для завершення процедури реєстрації була надіслана на Вашу електронну пошту. ""

Прошу надіслати  на ел. адресу    необхідну інформацію для завершення реєстрації в On-Line замовлення монет. 

Заздалегідь дякую. ",SiteAndCoins,,,,,,
Добрый день . Почему мне заблокировали учётную запись?,SiteAndCoins,,,,,,
"Описание проблемы: невозможно нормально отсортировать монеты для получения информации о последних заказах.
1. При попытке сортировки по дате - лист строится не правильно, так как формат даты """"мм-дд-гггг"". Плюс ко всему проблема описанная ниже тоже присутствует.
2. При попытке сортировки по номеру заказа - лист сортируется по перфой цифре номера заказа. Но так как номера заказов уже превысили 1000000 - то их отображает не в правильном месте(либо вначале, либо в конце. В зависимости от направления сортировки).
 
Можно ли это исправить?
 
Заранее спасибо за ответ.",SiteAndCoins,,,,,,
Доброго дня. При реєстрації в системі “ON-LINE ЗАМОВЛЕННЯ” (https://bank.gov.ua/WebSelling/) не надходить підтвердження на електронну пошту. Як це можна виправити,SiteAndCoins,,,,,,
Доброго дня шановні адміністратори. Зареєстрував на сайті онлайн замовлення . логін  При вході пише не вірний логін або пароль. Прошу допомоги в даній проблемі.  З повагою . Щиро дякую за надання допомоги.,SiteAndCoins,,,,,,
"Доброго дня!
Виникло питання при перевірці файлів 4С та 6F
Згідно п.10 перевірки файлу 6F зазначено, що перевірка виконується у розрізі К020 та К021.
Однак, якщо клієнт одночасно є фізичною особою та підприємцем, то вникає розбіжність – у файлі 4С у такого клієнта К021=2, а у файлі 6F К021=М (тому що активні операції виконуються тільки з ФОП).

Як реагувати на таку помилку?
Ідентифікаційний/реєстраційний код/номер K020=[ххххххххх] з кодом ознаки K021=[F] наданий у ф.6FX повинен бути відобр.у ф.4СХ",Hotline,,,,,,
"Добрый  день ! Коллеги  прошу  Вас  оказать  содействие   в  контроле  07х    FST1, FST2 
. Перевірка належності значень параметрів T020, R020, R011, R013, R030, K040, K072, S130, S183, S240,  K111, K140, S031, S080, S083, S190, S210, F037, F074, F083, FST1, FST2, FBM, FMC до відповідних довідників. Якщо для рахунку відсутнє значення параметру R011 та/або R013, у файлі за параметром R011 та/або R013 надається значення «0». 

справочник  только FST",Hotline,,,,,,
"Доброе утро, пытаюсь разместить отчет на портале форма 2PX, все как обычно, по шаблону из портала,    пишет ошибку см.ниже:
Файл не відповідає XSD-схемі 2PX Дані про фінансові операції з нерезидентами. cvc-enumeration-valid: Value U is not facet-valid with respect to enumeration [S]. It must be a value from the enumeration.
Прошу пояснить проблему, что не так делаю.
Спасибо.",Hotline,,,,,,
"Добрый день!
 
Просим зарегистрировать на сайте https://portal.bank.gov.ua, для подачи отчета 2PX,
В связи с открытием счета в банке-нерезиденте.",Hotline,,,,,,
"Добрый день!
Сегодня утром в 09:40 проверили через «Advanced REST client» все отработало без замечаний список отчетов получили. 
После этого выполнили выгрузку файла на портал из АБС, которая выдала сообщение о успешной выгрузке , но пока на самом портале мы файла не видим, выгрузку произвели в 10:18, выгружали файл 39.
Просьба посмотреть была ли от нас активность.",Hotline,,,,,,
"Hello Info,

День добрый.

В свете принятия постановления НБУ №148 от 10.12.2019 року
""Про деякі питання встановлення офіційного курсу гривні до іноземних валют та внесення зміни
до Класифікатора іноземних валют  та банківських металів "",
которое вступает в силу с 27.12.2019 г.

Вопрос 1: 
Прошу подтвердить продолжение функционирования API:
Курс на дату (формат файлу Статзвітності #99):
https://bank.gov.ua/NBU_Exchange/exchange?date=17.12.2019
описание которого было доведено в 2018 году.
Это решение реализовано для наших клиентов и используется на данный момент.

Суть вопроса в следующем, - на сайте регулятора (НБУ)
в разделе ""Публичная информация...."", по ссылке
https://old.bank.gov.ua/control/uk/publish/article?art_id=37944528&cat_id=25365601
на отсутствует описание этого решения:",Hotline,,,,,,
Добрый день ! Уважаемые  коллеги  ! Подскажите  пожалуйста  где   найти KOD_R020,Hotline,,,,,,
"Уважаемые коллеги,

Прошу восстановить утраченный нами пароль для",Hotline,,,,,,
"Добрый день. 
Вышлите, пожалуйста, полный протокол по последнему загруженному файлу 4РХ АТ",Hotline,,,,,,
"Добрый день. При регистрации в on-line замовлення пишет, что не пройдена проверка ,,я не робот,,. Подскажите,что делать?",SiteAndCoins,,,,,,
"Доброго дня!
 
Забыл логин и пароль. Хотел бы востановить.",SiteAndCoins,,,,,,
"Доброго дня, я помилково відправив вам не той amail (@gmail.com)
Мої дані за якими я заерестрованний в On-line замовленні:

Мій обліковий запис заблоковано. Розблокуйтаска.",SiteAndCoins,,,,,,
"Доброго дня, підкажіть будь ласка, який порядок замовлення монет, так як ії резервувати ? Не має кнопки замовлення монет",SiteAndCoins,,,,,,
"Не могу несколонко дней зарегистрироваться И не появляется проверка «я не робот» А потом говорит выбрасывает Посмотрите что там у Вас не работает

Андрей

Отправлено с iPad",SiteAndCoins,,,,,,
 Доброго дня! При реєстрації мене заблокувало,SiteAndCoins,,,,,,
Не могу зарегистрироваться.Не пускает reCAPTCHA.,SiteAndCoins,,,,,,
"Добрий день.
Програма мене не пропускає.
Пише що я не пройшла перевірку.
І це вже не вперше",SiteAndCoins,,,,,,
"Заранее извините. Зарегистрироваться так и не удалось..  Зайти не удалось.Пытался поменять пароль через «Забыл пароль» . Ничего не получилось. Вообщем все запуталось.
Если возможно повторите регистрацию еще раз по тем же данным и пришлите ссылку для подтверждения регистрации. 
Еще раз извините.    Большое спасибо.",SiteAndCoins,,,,,,
"Доброго дня!
Прошу повідомити мій логін для входу до особистого кабінету, оскільки я його не можу згадати. Мої особисті дані: ; дата народження: ; адреса електронної пошти: 8@gmail.com.
 Заздалегідь вдячний за допомогу!",SiteAndCoins,,,,,,
"Добрый день! Прошу предоставить логин и пароль доступа к https://portal.bank.gov.ua/ для возможности отправки отчетов в xml формате. 
Почта:",Hotline,,,,,,
"Здравствуйте
просим зарегестрировать в пилотном проекте по подаче статотчетности в XML формате",Hotline,,,,,,
Не можу зареєструватись пише не пройшов перевірку я не робот,SiteAndCoins,,,,,,
"Добрий день.
З новим роком.
Скажіть будь ласка, таке питання.
Сьогодні спробував замовити монети вперше, на них не вказана ціна, коли вона буде відома і як сплатити, при отриманні?
І як дізнатися коли можно отримати монети, дзвонити за адресою філіала який вказаний при замовленні?
Дякую.",SiteAndCoins,,,,,,
"Доброго дня.
Надсилаю інфо для розблокування мого акаунту:
Логін: 
ПІБ: 
Дата нар.: 
Імейл:",SiteAndCoins,,,,,,
"Здравствуйте. При попытке регистрацию выдает ошибку, что не пройдена проверка ""я не робот"", но эта проверка мне и не предлагалась... Какие мои действия дальше? заранее спасибо.",SiteAndCoins,,,,,,
Доброго дня. На сайті не бачу жлдної пропозиції для замовлення монет. Знаходжуся у місті Харків. Як я можу оглянути доступні пропозиції?,SiteAndCoins,,,,,,
"Здравствуйте
Подскажите где можно в Харькове приобрести  10 гривневые монеты.
Куда бы я не звонил ответ один , нету.
Спасибо

Отправлено с iPhone",SiteAndCoins,,,,,,
"Вже 4-й день неможу зареєструватись в системі онлайн замовлення, після заповнення усіх полів, натискаю кномку ""реєстрация"" видає помилку (Помилка! Перевірку 'Я не робот' не пройдено) як мені зареєструватись?",SiteAndCoins,,,,,,
"Забув логін та пароль. 
прізвище - 
ім'я - 
по-батькові - 
дата народження - 
електронна пошта реєстрації -  2@mail.ru. проте 19.05.2017р. змінено на електронну пошту - @gmail.com",SiteAndCoins,,,,,,
Как пройти регистрацию.,SiteAndCoins,,,,,,
"Хочу зареєструватися в системі для замовлення монет
Постійно виводить помилку: Помилка! Перевірку 'Я не робот' не пройдено, хоча recapcthi на сайті немає!!! Є лише її згначок в правому нижньому куті",SiteAndCoins,,,,,,
Как пройти рекапчу. Год не смогу зарегистрироваться,SiteAndCoins,,,,,,
"Добрый день. Не могу пройти регистрацию, пишет вы не прошли проверку Captcha. Система ее не выдает автоматом. Что делать?",SiteAndCoins,,,,,,
Моя учетка заблокирована.,SiteAndCoins,,,,,,
"Доброго дня 
Підкажіть як замовити срібну монету про надання томасу Україні. ",SiteAndCoins,,,,,,
я случайно заказал монеты в киеве а не в харькове номер заказа 111110 можно ли  этот заказ изменить на выдачу в харькове  с уважением ,SiteAndCoins,,,,,,
"Добрый день. Давно не пользовался сервисом, забыл и логин и пароль.Прошу Вашей помощи в восстановлении.",SiteAndCoins,,,,,,
"Прошу надати інструкцію як відновити доступ до мого аккаунту 

З повагою",SiteAndCoins,,,,,,
доброй ночи!!! поменял логин и эмейл адрес пишет что этот логин не зарегестрирован и не прошел проверку. как вобще можно за регитрироваться?,SiteAndCoins,,,,,,
"Добрый день, забыл логин для авторизации на сайте. Как восстановить доступ?",SiteAndCoins,,,,,,
Доброго дня я забув свій логін та пароль. Що мені робити?,SiteAndCoins,,,,,,
"Не получается зарегистрироваться, то пишет, вы - не прошли, что я не робот, либо, за логин

Отправлено с моего устройства Huawei
",SiteAndCoins,,,,,,
"Classification: Public
Добрий день, 

Даним листом підтверджуємо згоду  ПАТ « » ЄДРПОУ-00000000, на участь у пілотному проекті із запровадження нового формату надання статистичної звітності до НБУ. Звертаємось до Вас із проханням надати доступ до веб-порталу https://portal.bank.gov.ua/uk. Просимо надсилати інформацію щодо даного проекту на адресу",Hotline,,,,,,
"Добрый день, коллеги.

Хотелось бы получить информацию, как пройти регистрацию на Веб Портале НБУ https://portal.bank.gov.ua/uk/home.

С целью тестирования передачи отчетности  в формате XML.


Спасибо.",Hotline,,,,,,
"Добрий день.
Прошу зареєструвати нас для доступу на Веб-портал.
Назва –
Код за ЄДРПОУ – 00000000
Код банку – 

Дякую.",Hotline,,,,,,
"Добрый день.

Согласно Інструкції  про накладання ЕЦП на звітний файл  «Лист, який надсилається поштою, має бути підписаний керівником і засвідчений печаткою юридичної особи. »

У нас такой вопрос: 

Может ли файл подписываться не печатью, а ЭЦП ответственного сотрудника ? 

Если, да, что для этого нужно ? ",Hotline,,,,,,
"Добрий день



Просимо вислати логін і пароль для можливості відправляти звіти через веб-портал Національного банку.
",Hotline,,,,,,
"День добрый и со средой,

А вот не подскажете(может знаете или ненет или кого-нить посоветуете):
На портале после завантаження xml-файлов в Повідомлення не помещается весь текст зауваженнь. Как-то можно увидеть/узнать весь список зауваженнь. Или кому можно б позвонить.
",Hotline,,,,,,
"Утро доброе,

А не подскажете часом, как можно “пройти авторизацію та отримати access_token –ключ доступу до методів API”. Учет.запись на портале имеется – 00000000.

Спасибо.",Hotline,,,,,,
"Доброго дня!

При завантаженні форми 2-ПБ на портал НБУ з""являється помилка: ""Файл не відповідає XSD-схемі 2PX Фінансові операції з нерезидентами. cvc-pattern-valid: Value 0 is not facet-valid with respect to pattern [1] for type CTKOD_T080.""

За звітний період жодної операції по рахунках не було здійснено.
Підкажіть, будь ласка, як виправити дану помилку.
Дякую!",Hotline,,,,,,
"Доброго дня. Після реєстрації на пошту протягом двох діб так й не прийшов лист підтвердження. Підкажіть, як діяти у такій ситуації?
",SiteAndCoins,,,,,,
Чому при натисканні на кількість система не реагує вже довгий час?,SiteAndCoins,,,,,,
Здравствуйте. почему я не могу зарегистрироватся в системе  on-line заказ? пишет ввидите капчю! но ее нет!!! ,SiteAndCoins,,,,,,
"Вітаю. Моє ім'я Іван. Я намагаюсь зареєструватись на сайті Національного банку України для замовлення монет. Вводжу всі необхідні дані для реєстрації але мені пише наступне ""Ошибка! Проверку ""Я не робот"" не пройден"".  Які дії мені потрібно виконати для успішної реєстрації? ",SiteAndCoins,,,,,,
"Доброго дня!
У системі некоректно працює сортування (видно на рисунку у вкладенні)",SiteAndCoins,,,,,,
"Доброго дня допоможіть будь ласка з реєстрацією. При реєстрації на Вашому сайті видає помилку Помилка! Перевірку 'Я не робот' не пройдено
Дякую за допомогу.",SiteAndCoins,,,,,,
"Немогу зарегестрироватся, все что нужно проставляю. Пишет что проверку что неробот непрошол!?. Где сия кнопка?
ALINA",SiteAndCoins,,,,,,
"Зареєструвався у системі, та при спробі увійти видає, що такий логін не зареєстрований, хоча у хромі збереглися і логін і пароль.",SiteAndCoins,,,,,,
"Добрый день. Давно не заходила в ""on-line замовлення"" монет НБУ. Пользователь Ш, дата рождения . Просьба сбросить логин и пароль для установки новых данных. Спасибо.",SiteAndCoins,,,,,,
"Здравствуйте, подскажите, как пройти рекапчу на сайте регистрации, если нет галочки и раздела «я не робот». Спасибо.",SiteAndCoins,,,,,,
"Добрый день, потерял пароль логин от своего аккаунта онлайн заказа. Пытался заново зарегистрироваться не получилось, пишет что такой человек с таким именем и фамилие и номером мобильного уже зарегистрирован ( ). Не могли бы вы удалить данный аккаунт чтобы я заново зарегистрировался либы же помочь восстановить доступ. Заранее спасибо.  ",SiteAndCoins,,,,,,
"Добрий день
При виборі регіону відсутня Донецька область. Обласне відділення Ощадбанку знаходиться у м. Краматорськ.",SiteAndCoins,,,,,,
"Не могу зайти в онлайн кабинет заказа монет, по логину имейл при регистрации, тот с которого пишу, раньше пользовался успешно, так же не получается восстановить пароль, пишет что моего логина не существует, хотя пароль помню, но не могу зайти, почините.

С Уважением",SiteAndCoins,,,,,,
"Реєструвався на аккаунті НБУ,пройшов усі обов'язкові етапи реєстрування,зареєструвався,при вході в аккаунт пише ""Обліковий запис заблоковано. Для розблокування облікового запису необхідно повідомити технічній підтримці на адресу: support.online@bank.gov.ua наступну інформацію: логін, ПІБ(українською мовою), дату народження, електронну адресу реєстрації(email)"".
Також реєструвався на розкладці української мови,але на сайті постійно висвічувалась графа ""Переведіть клавіатуру на українську мову"".
Інформацію на мою дану почтову скриньку не поступала,та не поступає.",SiteAndCoins,,,,,,
"Добрый день. Забыл логин и пароль для он-лайн заказа памятных  монет . Мой телефон 050. Как можно востановить данные для продолжения заказов памятных монет? С уважением, Нв.",SiteAndCoins,,,,,,
"приходит письмо на почту с ссылкой. но пройдя по ней выдает ошибку. как восстановить пароль？


Надіслано зMeizu M3s",SiteAndCoins,,,,,,
Чи можливо видалити акаунт ?,SiteAndCoins,,,,,,
"Помилка, перевірку я не робот не пройдено. Пише при реєстрації. А перевірки цієї немає на сторінці. Що робити? Регіон Суми",SiteAndCoins,,,,,,
Як пройти ідентифікацію що я не робот?? Такого пункту ніде немає! А я не можу завершити реєстрацію!,SiteAndCoins,,,,,,
"Доброго дня.
Я намагаюся зареєструватися на сайті  https://bank.gov.ua/.
Після заповнення всіх необхідних даних неможливо завершити реєстрацію, з'являється повідомлення про помилку ""Не пройдено перевірку ""Я не робот"". Відповідну перевірку сайт пройти не пропонує, віконце ""капча"", здається, неактивне. 
Прошу допомоги у реєстрації.",SiteAndCoins,,,,,,
"Доброго дня!
За надцятою спробою мені вдалося зареєструваися на сайті .Система повідомила ,що для підтвердження потрібно пройти по посиланню,яке надійшло мені на пошту і що це посилання дійсне одну добу. Проблема в тому що на пошту мені нічого так і не надійшло. Допоможіть з вирішенням даної проблемию.Спасибі.",SiteAndCoins,,,,,добрий день надцятий спроба вдатися зареєструваутися сайт система повідомити підтвердження потрібно пройти посилання який надійти пошта посилання дійсний один доба проблема пошта нічого надійти допомогти вирішення даний проблемити спасибі,0.0
"Доброго дня,

Я зайшла до порталу, однак не змогла перевірити та відредагувати номер телефону, бо не змогла взагалі знай ти картки нашого підприємства. Print Screen нижче.",Hotline,,,,,добрий день зайти портал однак змогти перевірити відредагувати номер телефон змогти взагалі знати картка підприємство print screen нижче,1.0
"Доброго дня.
Прошу Вас надати можливість взяти участь у робочій зустрічі в рамках проекту Спліт з питань складання та подання звітності  НФУ до Національного банку України",Hotline,,,,,добрий день просити надати можливість взяти участь робочий зустріч рамка проект спліт питання складання подання звітність національний банка україна,1.0
"Hello Portal,
 Прошу рассмотреть аналитику корректности справочника KL_D020,
 который размещен в API и в виде excel файла на сайте НБУ.
 О     результатах     рассмотрения    обращения    прошу   уведомить
 обратным  письмом.
  З повагою,",Hotline,,,,,hello portal просить рассмотреть аналитик корректность справочник который разместить excel файл сайт результат рассмотрение обращение просить уведомить обратный письмо повага,1.0
"Добрый день !
Не подскажите телефон отдела,который рассчитывает и выкладывает на сайт НБУ в раздел 
Наглядова статистика_економічні нормативи_економічні нормативи та ліміти відкритоївалютної позиції
Хочу проконсультироваться...
Спасибо !",Hotline,,,,,добрывати день подскажити телефон отдела которывати рассчитывает выкладывает сайт раздло наглядовий статистик економічний норматив економічний норматив ліміт відкритоївалютний позиція хотіти проконсультироватися спасиба,1.0
"Доброго вечора!

Виникло питання стосовно коректності можливих сполучень в довіднику
KOD_07_1 для рахунків 1811, 1819 в частины параметру S083:
відповідно до внутрішніх документів банку, що регламентують порядок оцінки кредитного ризику, Банк оцінює дебіторську заборгованість на індивідуальній основі, що дозволено вимогами Постанови Правління НБУ №
351 (тобто S083 = 1)

В довіднику KOD_07_1 для рахунку 1819/1811 S083 = 2 (при S080 = K, L ) При прийомі файлу 07Х на порталі НБУ помилка:
 Метрика T100=7000000. Неможливе сполучення KOD_07_1 Для аналізу: 
KU=20 EKP=A07F84 T020=1 R020=1819 R011=4 R013=0 S080=K S083=1 S130=90
F037=71 F083=11 FBM=#

Вважаємо, що правила для контролю можливих сполучень потребують уточнення з урахуванням вимог Правління НБУ № 351.


Дякуємо!",Hotline,,,,,добрий вечір виникнути питання стосовно коректність можливий сполучення довідник рахунок частины параметр відповідно внутрішній документ банка регламентувати порядок оцінка кредитний ризик банк оцінювати дебіторський заборгованість індивідуальний основа дозволити вимога постановити правління тобто довідник рахунок перти прийом файл портал помилка метрика неможливий сполучення аналіз вважати правило контроль можливий сполучення потребувати уточнення урахування вимога правління дякувати,1.0
"Добрий день, пришліть будь ласка протокол файлу 07Х
дякую",Hotline,,,,,добрий день прислати бути ласка протокол файл дякувати,1.0
"Здравствуйте, как можно взять информацию о настоящих компаниях МФО. Если можно то пришлите её с ответом на почту .",Hotline,,,,,здравствуйте взять информация настоящий компания прислать ответ почта,1.0
"Добрий день.
При створенні GET запиту про завантаженню інформації щодо проходження контролів за файлами виникає помилка: «{""exception"":""null""}».
При цьому, за запитами авторизації, отримання переліку звітів, переліку файлів, довідників – запити обробляються коректно.
Підкажіть, в чому може бути причина? Можливо, інформація за контролями в режимі API наразі недоступна?
Дякуємо.",Hotline,,,,,добрий день створення запитий завантаження інформація щодо проходження контрол файл виникати помилка exception null запит авторизація отримання перелік звіт перелік файл довідник запит оброблятися коректно підказати чома може бута причина можливо інформація контроляма режим наразі недоступний дякувати,1.0
"Доброго дня,

Потрібна Ваша допомога. Я скачав Додаток ""Монети України""
Інформативно все працює добре. Але для замовлення онлайн потрібно увійти в систему. При скачувані не запитувало про створення логіна і паролю. відповідно увійти не можу. Реєстраційна форма відсутня. Звернутися на підтримку - Обробка запитів громадян також не є можливим так як видає помилку.

Яким Чином можу увійти в систему і повноцінно користуватися додатком?

Дякую за розуміння і сподіваюся на допомогу.",SiteAndCoins,,,,,добрий день потрібний допомога скачати додаток монета україна інформативно працювати добре замовлення онлайн потрібно увійти система скачуваний запитувати створення логін пароль відповідно увійти могти реєстраційний форма відсутній звернутися підтримка обробка запит громадянин також бути можливий видавати помилка яким могти увійти система повноцінно користуватися додаток дякувати розуміння сподіватися допомога,0.0
Добрый день.пришло подтверждение о регистрации на почту.перешол по сылке и выбило ошибку.что делать?,SiteAndCoins,,,,,добрый день прийти подтверждение регистрация почта перешол сылка выбить ошибка делать,0.0
"Не можливо зарєгеструватися, пише невірний логін,",SiteAndCoins,,,,,можливо зарєгеструватися писати невірний логін,0.0
